amfi_code,cagr
100016,0.02878836168446064
100025,0.045424567091022716
100033,0.30518424050597837
101206,0.2350438523934777
101207,0.0820657572659449
101208,0.06512021213455932
102885,0.1793430337634756
102886,0.009133051069225795
102887,0.17119515841243627
118632,0.2406797851896254
118633,0.16664557456811546
118634,0.16469727674318357
118635,0.1621380764618423
118636,0.05241823303255022
119092,0.06526820562107027
119093,0.07901622403199693
119094,0.283174871660953
119095,0.01093536197784628
119120,0.05825353223052332
119551,0.25822980568647824
119552,0.22034114811706274
119598,0.3286874012519587
119599,0.02493518558009522
120503,0.18670122424251634
120504,0.23617107338005616
120505,0.33433225211134987
120506,0.17069920067711042
120507,0.07225366167906166
120841,0.13439907124323103
120842,0.06285288337821648
120843,0.3037093275720901
120844,0.06908928179555218
125497,0.18989436922141856
125498,0.11428206636760763
148567,0.30403609350712624
148568,0.2207780749661905
148569,0.31697296900124927
149322,0.13614983408767278
149323,0.295648139501109
149324,0.32602809993681303
